emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,label,timestamp
126,125,125,125,125,125,125,125,0,1764984219.9229183
126,125,125,125,125,125,125,125,0,1764984219.9533062
126,125,125,124,126,125,124,125,0,1764984219.9533105
126,125,125,124,125,125,124,125,0,1764984219.9533134
126,125,125,124,125,125,124,125,0,1764984219.9533157
126,125,125,125,124,125,124,125,0,1764984219.9533184
126,125,125,125,124,125,124,125,0,1764984219.953321
127,125,125,125,124,125,125,125,0,1764984219.9533331
127,125,125,125,124,125,125,125,0,1764984219.9533358
127,125,125,125,124,125,125,125,0,1764984219.9533381
126,125,125,125,124,125,125,125,0,1764984219.9533405
126,125,125,125,124,125,125,126,0,1764984219.9533427
126,125,125,125,125,125,125,126,0,1764984219.953345
126,125,125,125,125,125,125,125,0,1764984219.9533477
126,125,125,125,125,125,125,125,0,1764984219.9533498
126,125,125,125,125,125,125,125,0,1764984219.9533522
126,125,125,125,125,125,125,125,0,1764984219.9533548
126,125,125,124,124,125,124,125,0,1764984219.993643
127,125,125,125,124,125,125,125,0,1764984219.9936607
127,125,125,125,123,125,125,125,0,1764984219.9936635
127,125,125,125,123,125,125,125,0,1764984219.993666
126,125,125,125,123,125,125,125,0,1764984219.9936683
126,125,125,125,125,125,125,125,0,1764984219.9936707
126,125,125,125,125,125,125,125,0,1764984219.9936774
126,124,125,125,126,124,124,125,0,1764984219.9936795
126,124,125,124,126,124,125,125,0,1764984219.993682
126,124,125,124,125,124,125,125,0,1764984219.9936843
126,124,125,124,125,124,125,125,0,1764984219.993686
126,125,125,125,124,125,125,125,0,1764984219.993688
126,125,125,125,124,125,125,125,0,1764984219.9936903
126,125,125,125,123,125,125,125,0,1764984219.9936924
126,125,125,125,123,125,125,125,0,1764984219.9936948
126,125,125,125,123,125,125,125,0,1764984219.993697
126,125,125,125,123,125,125,125,0,1764984220.0139706
126,125,125,125,123,125,125,125,0,1764984220.0139747
126,125,125,125,124,125,125,125,0,1764984220.0139775
126,125,125,125,124,125,124,125,0,1764984220.01398
126,125,125,125,123,125,124,125,0,1764984220.0139823
126,125,125,124,123,125,124,125,0,1764984220.0139847
126,125,125,125,124,125,125,125,0,1764984220.013987
126,125,125,125,125,125,125,125,0,1764984220.0139892
126,125,125,125,126,125,125,125,0,1764984220.0139916
126,125,125,125,126,125,125,125,0,1764984220.0139937
126,125,125,125,126,125,125,125,0,1764984220.0139961
126,125,125,124,125,125,125,125,0,1764984220.013998
126,125,125,124,125,125,125,125,0,1764984220.0140007
126,125,125,124,124,125,125,126,0,1764984220.014009
126,125,125,125,123,125,125,126,0,1764984220.0140114
126,125,125,125,123,125,125,125,0,1764984220.0140197
127,125,125,125,124,125,125,125,0,1764984220.0749042
127,125,125,125,123,125,125,125,0,1764984220.0749087
127,125,125,125,124,125,125,125,0,1764984220.074911
126,125,125,125,124,125,125,125,0,1764984220.085077
